id;beer_style;bitterness_IBU;diacetyl_concentration;lactic_acid;final_gravity;sodium;free_CO2;dissolved_oxygen;original_gravity;pH;gypsum_level;alcohol_ABV;fermentation_strength;quality
19;Pale;7.772;0.2;0.488;1.356;0.057;5.998;47.997;0.987;3.145;0.264;5.432;10.585;5
20;Amber;6.004;0.398;0.209;1.899;0.049;29.004;122.006;1.0;3.413;0.524;5.006;9.413;6
21;Golden;6.611;0.259;0.341;2.89;0.028;38.02;121.0;1.002;3.198;0.404;6.103;11.115;6
22;Pale;6.39;0.141;0.405;1.469;0.042;22.998;86.991;0.994;3.109;0.467;5.812;10.85;7
23;Pale;5.708;0.325;0.276;4.098;0.043;22.009;85.979;1.004;3.314;0.383;5.574;10.212;7
24;Pale;6.69;0.317;0.331;7.496;0.035;38.992;124.007;0.985;2.993;0.319;5.905;11.078;8
25;Pale;6.814;0.181;0.333;4.891;0.048;42.004;129.993;0.999;3.099;0.551;5.241;10.395;6
26;Pale;7.285;0.236;0.261;2.611;0.036;39.001;120.008;1.0;3.038;0.601;5.385;10.104;7
27;Golden;6.895;0.395;0.414;6.203;0.072;41.027;176.014;1.005;3.109;0.532;4.475;8.671;5
28;Pale;7.895;0.273;0.325;7.363;0.046;36.999;153.996;0.998;3.066;0.317;5.153;9.797;5
29;Pale;8.287;0.244;0.346;2.5;0.059;12.022;72.0;0.998;2.899;0.473;4.524;8.825;5
30;Pale;5.989;0.332;0.658;15.901;0.067;26.003;164.009;0.994;3.146;0.499;4.192;8.057;6
31;Pale;7.803;0.251;0.413;3.692;0.041;36.997;149.003;0.994;3.37;0.452;4.773;9.49;6
32;Brown;9.302;0.38;0.483;3.804;0.109;3.008;11.009;0.996;3.209;0.554;6.292;11.494;6
33;Pale;6.811;0.288;0.338;7.489;0.032;33.996;176.992;0.996;3.345;0.402;4.335;8.342;5
34;Dark;9.084;0.416;0.586;4.613;0.076;6.011;20.005;1.004;3.256;0.581;5.961;11.086;6
35;Brown;7.202;0.686;0.118;1.995;0.078;12.016;19.995;1.006;3.287;0.548;4.819;9.223;5
36;Amber;7.392;0.175;0.296;12.796;0.04;48.528;229.005;1.009;3.137;0.479;4.332;8.621;7
37;Pale;7.805;0.265;0.449;1.3;0.041;42.984;131.981;0.967;3.18;0.646;4.767;9.399;5
38;Pale;6.494;0.274;0.385;1.407;0.004;12.01;66.004;0.98;3.247;0.758;5.383;9.98;7
39;Pale;8.414;0.217;0.493;7.788;0.039;21.994;94.994;0.994;3.047;0.344;5.724;10.249;6
40;Dark;8.005;0.575;0.294;3.215;0.07;21.0;113.992;1.011;3.209;0.537;4.485;8.658;6
41;Golden;6.186;0.454;0.263;4.42;0.072;63.003;205.998;0.991;3.272;0.514;4.68;9.154;4
42;Golden;7.396;0.268;0.298;5.299;0.051;43.99;160.992;0.991;3.124;0.462;4.918;9.7;6
43;Pale;6.911;0.209;0.32;9.318;0.039;21.997;110.02;0.998;3.338;0.541;5.1;10.012;7
44;Pale;6.691;0.262;0.244;7.207;0.032;61.0;220.005;1.0;3.148;0.353;4.524;8.936;5
45;Dark;7.589;0.415;0.291;1.906;0.082;29.015;66.002;1.001;3.461;0.605;4.523;8.834;6
46;Pale;7.599;0.352;0.489;13.303;0.05;41.994;115.986;0.998;3.037;0.497;4.375;8.612;5
47;Pale;5.917;0.327;0.273;4.681;0.036;33.995;94.003;0.999;3.222;0.57;6.246;10.892;7
48;Golden;6.799;0.182;0.302;12.808;0.06;18.995;171.01;1.003;2.978;0.531;4.288;8.006;7
49;Pale;7.198;0.315;0.402;8.713;0.049;44.998;153.99;0.992;3.199;0.465;4.953;8.951;6
50;Dark;8.59;0.209;0.366;1.887;0.057;53.0;76.983;0.992;3.474;0.885;5.239;9.96;7
51;Pale;6.002;0.267;0.435;5.216;0.025;70.007;178.02;0.998;3.413;0.375;5.867;10.994;8
52;Pale;5.679;0.245;0.256;7.93;0.039;16.014;107.999;0.997;3.437;0.609;4.911;9.573;6
53;Brown;7.892;0.592;0.235;2.28;0.09;23.009;94.004;0.986;3.195;0.589;4.52;8.521;6
54;Pale;6.599;0.268;0.302;5.297;0.054;56.989;189.001;1.013;3.308;0.784;4.668;9.379;5
55;Amber;7.413;0.548;0.192;1.792;0.078;14.993;34.002;0.999;3.505;0.681;5.009;9.25;5
56;Amber;7.389;0.192;0.416;7.798;0.019;26.999;153.003;1.001;3.215;0.537;4.293;8.849;7
57;Golden;6.095;0.374;0.242;8.164;0.024;13.987;88.002;0.994;3.063;0.274;6.195;11.252;7
58;Dark;8.4;0.328;0.292;3.103;0.195;13.996;26.005;0.996;3.232;0.775;5.722;10.513;6
59;Brown;5.6;0.546;0.043;1.692;0.051;4.988;13.003;0.988;3.717;0.577;5.427;9.633;5
60;Dark;6.904;0.419;0.313;2.01;0.079;20.994;50.998;0.987;3.482;0.533;4.523;9.255;6
61;Pale;8.286;0.273;0.316;1.997;0.044;13.995;140.99;0.994;2.955;0.768;5.808;10.936;6
62;Brown;7.602;1.572;0.015;2.101;0.139;4.99;9.02;0.993;3.5;0.383;5.196;9.723;3
63;Amber;5.711;0.281;0.242;17.498;0.055;60.013;166.999;1.012;3.292;0.432;4.472;8.644;5
64;Golden;6.306;0.203;0.28;1.516;0.044;46.012;141.99;0.992;3.214;0.419;4.809;9.814;6
65;Pale;5.993;0.15;0.372;1.201;0.027;63.008;148.0;0.986;3.326;0.458;5.341;10.48;5
66;Golden;7.698;0.287;0.479;2.3;0.062;36.005;177.998;1.002;3.162;0.64;5.053;9.811;6
67;Golden;7.092;0.219;0.371;1.496;0.048;27.998;129.014;0.986;3.148;0.52;5.151;10.292;5
68;Dark;6.916;0.667;0.057;2.095;0.078;7.997;32.992;0.991;3.691;0.702;4.573;9.202;5
69;Dark;7.997;0.178;0.352;0.888;0.068;35.994;109.0;1.006;2.877;0.455;6.048;10.782;6
70;Dark;7.695;0.684;0.013;2.396;0.084;7.996;18.998;1.004;3.263;0.741;4.437;8.852;5
71;Pale;7.308;0.268;0.29;7.496;0.046;37.993;158.005;0.986;3.432;0.393;4.577;8.949;5
72;Golden;6.419;0.26;0.208;7.089;0.014;35.001;162.007;1.008;3.386;0.593;4.706;8.725;6
73;Dark;8.702;0.46;0.312;2.5;0.144;24.01;63.995;0.988;3.102;0.747;4.572;8.88;5
74;Brown;5.996;0.334;0.329;12.89;0.057;5.982;112.974;1.01;3.308;0.572;5.478;10.469;4
75;Pale;7.218;0.235;0.29;1.196;0.049;10.996;95.0;0.984;2.953;0.365;5.955;10.599;6
76;Dark;6.599;0.713;0.066;2.597;0.105;13.995;26.986;1.004;3.443;0.584;4.864;8.892;5
77;Brown;8.207;0.391;0.394;1.51;0.065;10.0;29.013;0.994;3.255;0.743;4.672;8.55;5
78;Pale;7.004;0.223;0.217;5.081;0.05;37.994;168.005;0.994;3.36;0.472;4.956;9.712;6
79;Brown;6.403;0.864;0.042;3.198;0.097;27.002;57.993;1.013;3.61;0.474;6.055;11.139;6
80;Pale;4.689;0.662;0.117;0.997;0.03;5.009;9.0;0.977;3.295;0.33;6.485;12.225;5
81;Pale;6.101;0.14;0.244;3.285;0.03;10.014;69.005;0.993;3.543;0.588;4.822;9.007;6
82;Pale;6.208;0.333;0.284;7.595;0.046;44.996;232.003;0.984;3.35;0.62;4.761;9.442;6
83;Amber;9.204;0.359;0.341;1.58;0.076;4.997;12.005;0.988;3.195;0.653;5.008;9.107;6
84;Pale;6.2;0.154;0.319;1.097;0.024;73.993;184.0;0.989;3.226;0.414;5.248;9.553;6
85;Golden;7.592;0.293;0.373;2.103;0.019;10.008;97.996;1.005;3.191;0.666;5.252;10.011;5
86;Golden;7.797;0.407;0.495;7.787;0.061;33.987;162.0;1.002;3.273;0.577;5.387;9.823;6
87;Brown;7.888;0.683;0.219;2.082;0.097;33.005;141.004;0.996;3.254;0.512;4.72;8.97;5
88;Golden;8.499;0.148;0.491;1.501;0.036;17.0;122.005;0.981;3.038;0.4;4.903;9.215;6
89;Golden;7.103;0.168;0.317;1.575;0.036;14.998;103.008;0.985;3.137;0.511;5.721;10.517;6
90;Amber;7.092;0.53;0.016;2.593;0.076;20.989;91.997;0.993;3.513;0.605;4.67;9.121;5
91;Golden;7.202;0.394;0.621;10.812;0.042;70.006;189.014;0.978;3.075;0.494;4.107;8.702;4
92;Pale;8.201;0.422;0.287;4.098;0.055;30.992;99.987;0.997;2.981;0.326;6.101;11.07;7
93;Dark;10.097;0.652;0.374;5.108;0.097;11.009;65.026;1.004;3.317;0.643;4.957;9.71;6
94;Pale;7.297;0.297;0.362;12.697;0.04;37.998;139.982;0.998;3.315;0.801;4.573;8.598;6
95;Brown;6.706;0.652;0.075;2.409;0.087;17.005;81.996;1.004;3.342;0.532;4.818;8.949;5
96;Pale;7.389;0.253;0.307;3.695;0.042;28.994;193.029;1.001;3.107;0.65;5.955;11.146;6
97;Golden;6.699;0.289;0.282;4.491;0.06;14.0;91.995;1.003;3.359;0.585;5.673;10.531;6
98;Pale;7.396;0.293;0.507;1.809;0.036;35.005;126.994;0.973;3.445;0.498;4.863;9.356;7
99;Pale;6.397;0.29;0.451;3.507;0.205;75.998;179.994;0.988;3.011;0.383;4.335;8.828;6
100;Amber;6.389;0.245;0.486;5.788;0.075;25.002;119.991;0.984;3.015;0.986;5.005;8.642;6
101;Pale;6.894;0.177;0.363;1.491;0.025;37.993;147.006;1.003;3.358;0.546;5.239;9.832;6
102;Golden;5.802;0.339;0.38;0.892;0.02;2.983;74.998;0.987;3.274;0.34;5.434;9.852;4
103;Golden;6.994;0.308;0.509;4.687;0.012;16.998;104.977;0.979;3.286;0.674;5.915;11.119;7
104;Dark;9.712;0.678;0.312;2.491;0.083;22.011;90.997;1.001;3.276;0.602;4.817;9.046;5
105;Pale;6.688;0.193;0.273;10.223;0.038;29.001;114.991;0.996;3.114;0.447;5.191;9.786;7
106;Pale;7.32;0.301;0.554;12.911;0.052;61.993;162.506;0.989;3.055;0.451;4.342;8.619;6
107;Golden;7.192;0.467;0.657;10.385;0.049;75.998;191.997;1.004;3.153;0.412;4.143;8.043;5
108;Pale;6.581;0.273;0.305;7.815;0.052;56.982;201.988;0.992;3.255;0.395;4.525;9.147;5
109;Golden;7.397;0.264;0.318;2.403;0.009;14.997;143.016;0.994;3.023;0.658;5.724;10.28;4
110;Golden;6.688;0.479;0.514;2.879;0.034;27.986;122.009;0.996;3.124;0.404;6.196;11.419;6
111;Amber;8.308;0.218;0.49;19.797;0.054;50.011;231.012;0.998;2.99;0.539;4.388;8.739;5
112;Pale;6.805;0.256;0.224;4.796;0.042;110.015;198.004;0.971;3.297;0.647;5.05;9.554;5
113;Brown;11.5;0.317;0.546;2.089;0.085;5.001;15.004;1.013;2.971;0.694;4.379;8.866;6
114;Golden;5.497;0.289;0.212;1.599;0.026;22.999;85.001;0.98;3.418;0.428;5.963;10.131;5
115;Amber;8.496;0.674;0.199;2.086;0.104;23.001;113.002;0.997;3.135;0.479;4.385;8.36;5
116;Golden;5.806;0.304;0.327;1.498;0.024;30.995;114.01;1.005;3.309;0.596;5.959;10.758;7
117;Golden;8.101;0.249;0.25;4.284;0.038;42.998;122.985;0.993;3.156;0.322;5.333;9.865;6
118;Pale;6.004;0.14;0.166;5.59;0.035;36.997;126.997;0.98;3.055;0.59;4.677;9.032;6
119;Pale;7.097;0.199;0.328;1.209;0.066;33.999;97.003;0.972;3.107;0.758;5.339;10.054;6
120;Golden;5.81;0.265;0.255;13.094;0.04;44.012;147.995;1.0;3.304;0.381;4.433;8.486;5
121;Amber;7.086;0.22;0.362;3.199;0.028;20.999;107.006;0.981;3.104;0.522;5.295;9.868;6
122;Pale;7.206;0.473;0.171;5.901;0.055;14.007;124.99;0.968;3.102;0.502;4.673;8.489;5
123;Brown;11.581;0.47;0.378;1.408;0.086;6.001;28.005;1.004;3.07;0.648;4.779;9.008;6
124;Golden;6.706;0.397;0.221;8.791;0.061;24.01;113.016;0.991;3.227;0.448;4.481;8.916;5
125;Dark;6.894;0.484;0.188;1.702;0.071;13.01;26.015;0.972;3.394;0.651;4.672;9.694;6
126;Golden;6.9;0.193;0.317;19.255;0.051;38.019;166.992;0.99;2.923;0.512;4.332;8.072;7
127;Pale;7.296;0.208;0.495;1.79;0.04;44.011;151.993;1.001;3.329;0.429;6.011;11.334;7
128;Brown;7.219;1.006;-0.001;3.002;0.083;7.006;15.984;0.984;3.422;0.458;4.77;9.336;5
129;Golden;6.188;0.312;0.222;6.307;0.031;49.995;218.03;0.996;3.151;0.606;4.76;9.125;5
130;Dark;8.385;0.742;0.112;1.878;0.089;16.009;63.011;0.999;3.187;0.825;4.581;8.689;5
131;Golden;6.408;0.17;0.274;2.203;0.018;33.008;93.013;0.992;3.309;0.426;5.286;9.891;6
132;Pale;6.698;0.236;0.329;9.009;0.032;20.002;108.993;0.999;3.347;0.344;6.01;10.778;6
133;Pale;6.591;0.409;0.239;2.336;0.041;23.014;86.98;0.961;3.051;0.423;5.432;10.25;6
134;Amber;7.097;0.349;0.382;4.804;0.022;39.001;114.0;0.995;3.082;0.495;6.059;10.702;7
135;Pale;8.403;0.344;0.558;13.793;0.061;55.013;189.994;0.982;3.061;0.569;4.478;9.056;6
136;Golden;6.209;0.26;0.537;7.021;0.048;57.997;176.012;0.974;3.204;0.716;4.95;9.97;5
137;Pale;5.202;0.603;0.057;7.022;0.043;33.004;146.985;0.993;3.327;0.587;4.626;8.994;5
138;Pale;8.008;0.293;0.564;10.398;0.046;18.008;134.005;1.01;3.118;0.674;4.292;8.798;5
139;Golden;8.208;0.239;0.48;0.911;0.038;15.014;72.999;0.998;3.071;0.365;4.96;9.59;6
140;Dark;6.904;0.699;0.005;2.479;0.113;21.962;37.001;0.987;3.468;0.581;5.053;9.421;6
141;Amber;6.6;0.417;0.274;10.698;0.103;19.99;103.004;1.007;3.087;0.416;4.295;8.365;6
142;Dark;7.995;0.507;0.367;2.599;0.065;12.014;46.014;0.993;3.433;0.598;5.101;9.365;6
143;Pale;6.711;0.244;0.309;2.298;0.055;37.009;113.004;1.005;3.284;0.472;6.161;11.452;6
144;Pale;6.103;0.231;0.443;1.801;0.154;33.999;73.993;0.983;3.195;0.34;6.385;11.228;6
145;Pale;7.511;0.278;0.349;15.71;0.059;28.998;124.011;0.993;3.043;0.541;4.949;9.426;5
146;Brown;8.201;0.329;0.371;2.493;0.07;29.002;47.997;1.002;3.303;0.896;5.91;11.014;7
147;Golden;7.707;0.232;0.318;10.718;0.039;59.01;185.986;0.975;3.111;0.559;4.522;8.663;6
148;Pale;6.793;0.178;0.175;5.103;0.053;26.022;81.995;0.997;2.979;0.377;4.67;9.221;6
149;Golden;5.806;0.188;0.374;1.207;0.032;19.001;74.002;0.991;3.081;0.489;6.049;10.685;7
150;Golden;6.492;0.301;0.342;5.688;0.055;27.008;90.98;0.989;3.275;0.61;5.721;10.266;7
151;Pale;6.891;0.262;0.352;9.181;0.033;42.006;149.995;0.997;3.228;0.355;5.48;10.135;6
152;Golden;6.505;0.262;0.327;16.494;0.067;44.009;165.986;1.003;3.369;0.446;4.538;8.655;6
153;Dark;9.511;0.876;0.261;2.31;0.077;31.004;144.996;1.007;3.237;0.532;4.472;8.74;5
154;Golden;6.775;0.294;0.305;6.191;0.016;29.007;94.991;0.989;3.001;0.317;6.149;11.037;7
155;Dark;6.507;0.599;0.007;2.197;0.078;48.008;58.995;0.98;3.58;0.693;5.483;10.252;6
156;Pale;7.701;0.356;0.381;1.993;0.059;27.998;151.99;0.994;3.175;0.326;6.149;11.451;6
157;Pale;5.894;0.217;0.45;22.613;0.132;54.984;122.016;1.005;3.101;0.338;6.097;10.891;5
158;Amber;7.988;0.622;0.337;2.696;0.091;15.993;37.007;0.998;3.312;0.589;5.094;9.942;6
159;Pale;7.305;0.251;0.491;5.004;0.01;32.0;106.987;1.001;3.238;0.556;5.145;9.761;6
160;Golden;5.791;0.325;0.241;4.986;0.035;28.987;105.987;0.999;3.142;0.513;4.287;8.338;5
161;Golden;6.795;0.259;0.311;13.299;0.065;68.998;201.999;0.997;3.234;0.479;4.627;8.708;6
162;Amber;7.603;0.305;0.497;13.208;0.035;61.004;147.983;1.018;2.979;0.454;4.336;8.253;6
163;Golden;6.789;0.314;0.221;3.298;0.038;30.994;98.992;1.017;3.104;0.424;5.914;11.011;6
164;Dark;6.78;0.781;-0.005;2.4;0.103;14.004;29.994;0.997;3.528;0.557;5.094;9.723;6
165;Golden;7.284;0.183;0.296;1.183;0.062;11.99;143.006;0.987;3.202;0.465;5.386;9.889;7
166;Amber;7.611;0.347;0.303;1.708;0.081;26.004;65.001;0.982;3.456;0.632;4.529;8.752;6
167;Pale;5.705;0.28;0.276;4.097;0.182;73.493;189.501;1.001;3.266;0.361;4.484;8.032;6
168;Pale;5.894;0.472;0.291;1.481;0.036;19.011;78.001;1.003;3.472;0.441;5.675;10.613;7
169;Brown;8.992;0.483;0.306;2.705;0.079;24.01;125.001;1.005;3.306;0.618;4.483;8.811;5
170;Pale;6.478;0.281;0.191;6.588;0.058;97.984;174.982;0.995;3.162;0.333;4.82;8.83;6
171;Golden;7.497;0.226;0.312;4.802;0.047;39.004;112.999;0.978;3.104;0.521;4.859;9.157;7
172;Golden;7.81;0.395;0.279;9.9;0.068;33.006;180.996;0.992;3.031;0.424;5.196;9.556;6
173;Brown;7.201;0.419;0.373;2.006;0.09;13.0;45.027;1.001;3.479;0.634;4.381;8.623;5
174;Golden;7.204;0.396;0.617;10.793;0.042;69.996;189.005;1.006;3.092;0.47;4.098;8.44;4
175;Brown;6.114;0.341;0.248;1.79;0.095;3.998;28.001;0.989;3.369;0.452;4.811;9.459;5
176;Golden;6.789;0.283;0.233;7.8;0.047;54.01;213.999;0.999;3.134;0.468;4.247;8.87;5
177;Brown;6.89;0.398;0.239;2.481;0.075;30.009;45.006;0.982;3.263;0.58;4.764;8.539;5
178;Dark;10.503;0.416;0.645;2.965;0.115;12.014;29.018;1.013;3.25;0.759;5.578;10.079;7
179;Pale;5.907;0.25;0.173;12.414;0.065;49.994;161.993;0.996;3.381;0.406;4.523;8.666;5
180;Pale;7.222;0.18;0.362;6.9;0.069;47.01;128.001;1.004;3.082;0.449;5.249;10.064;7
181;Dark;6.991;0.476;0.482;5.612;0.039;26.02;121.0;0.978;3.336;0.767;4.999;9.647;5
182;Brown;10.598;1.013;0.432;2.803;0.074;20.984;83.983;1.012;3.076;0.581;4.816;9.454;5
183;Dark;9.907;0.344;0.397;2.293;0.087;10.989;60.999;1.011;3.206;0.494;4.528;8.744;5
184;Dark;7.697;0.625;0.097;1.909;0.079;14.984;27.011;1.008;3.323;0.563;4.531;8.752;6
185;Amber;7.414;0.381;0.223;6.987;0.016;28.989;125.98;1.015;3.13;0.416;4.994;9.033;5
186;Pale;7.279;0.263;0.259;1.722;0.044;9.992;112.017;1.0;3.107;0.428;4.714;8.58;5
187;Pale;5.993;0.268;0.507;6.183;0.018;36.996;103.997;0.979;3.271;0.498;5.624;10.862;7
188;Brown;6.907;0.642;0.005;1.917;0.081;17.993;30.013;1.002;3.398;0.768;4.672;9.247;5
189;Pale;6.612;0.416;0.326;2.793;0.048;15.007;85.02;0.991;3.292;0.492;6.392;11.955;6
190;Pale;6.808;0.237;0.321;18.303;0.062;40.006;141.999;1.019;3.302;0.395;4.149;8.216;5
191;Amber;11.882;0.401;0.494;2.694;0.115;11.989;42.01;1.008;3.151;0.605;4.912;9.61;5
192;Pale;6.308;0.215;0.335;5.009;0.024;36.012;92.996;0.986;3.255;0.352;6.432;11.474;7
193;Pale;5.196;0.219;0.449;6.202;0.056;41.001;186.99;0.999;3.187;0.418;4.634;8.929;5
194;Pale;6.884;0.304;0.314;1.206;0.019;20.007;166.001;0.98;3.054;0.545;4.675;8.667;6
195;Golden;6.29;0.205;0.392;1.692;0.032;47.994;133.99;0.987;3.425;0.471;5.482;10.286;6
196;Pale;6.291;0.258;0.237;14.895;0.044;47.005;142.011;1.013;3.147;0.344;4.625;9.027;6
197;Pale;5.692;0.222;0.333;1.899;0.04;37.002;110.009;0.974;3.265;0.583;5.92;10.561;6
198;Golden;6.401;0.292;0.281;3.006;0.048;19.006;97.99;0.987;3.252;0.464;5.289;10.184;6
199;Pale;6.204;0.315;0.283;1.617;0.051;28.028;106.01;0.999;3.146;0.414;6.334;11.659;6
200;Dark;6.611;0.805;0.026;7.811;0.084;6.004;11.994;1.001;3.517;0.495;5.816;10.237;5
201;Pale;7.698;0.238;0.31;10.707;0.032;59.003;185.99;1.006;3.109;0.537;4.525;8.933;6
202;Pale;7.211;0.274;0.387;18.944;0.041;42.005;155.0;0.992;2.967;0.472;4.292;8.38;6
203;Golden;7.188;0.214;0.333;11.894;0.046;37.002;212.999;0.983;3.084;0.49;4.568;9.294;6
204;Pale;6.5;0.263;0.4;9.982;0.033;74.0;226.993;0.991;3.19;0.51;4.478;8.883;5
205;Golden;7.889;0.146;0.279;1.797;0.036;43.99;177.988;0.999;3.439;0.435;4.375;7.65;6
206;Golden;6.789;0.298;0.236;4.591;0.064;50.497;238.51;0.984;3.314;0.61;4.53;8.478;5
207;Golden;6.689;0.364;0.257;2.493;0.036;24.002;84.0;1.011;3.131;0.367;5.579;10.372;6
208;Dark;7.386;0.632;0.182;5.389;0.172;51.989;98.002;0.991;3.268;0.5;4.524;9.257;5
209;Pale;6.787;0.404;0.342;7.402;0.022;38.002;132.992;0.99;3.194;0.457;5.723;10.219;7
210;Brown;7.203;0.637;0.063;2.595;0.058;16.0;85.994;0.997;3.496;0.542;4.619;8.184;5
211;Golden;5.81;0.304;0.269;1.686;-0.001;45.0;103.99;0.983;3.405;0.566;5.999;11.161;7
212;Dark;7.208;0.626;0.06;2.698;0.071;15.001;85.01;0.989;3.532;0.541;4.53;9.071;5
213;Golden;6.588;0.249;0.31;1.697;0.007;26.027;102.008;0.99;3.297;0.593;5.627;10.353;6
214;Golden;5.997;0.281;0.318;3.597;0.043;35.975;132.981;0.975;3.219;0.464;5.145;9.843;6
215;Pale;6.511;0.161;0.29;1.525;0.039;33.991;121.005;0.997;3.058;0.442;5.004;9.063;6
216;Brown;8.804;0.658;0.236;1.693;0.067;3.993;23.004;0.996;3.148;0.74;4.397;8.748;5
217;Pale;6.9;0.158;0.368;1.007;0.036;22.005;80.984;0.992;3.035;0.544;5.437;10.245;6
218;Golden;5.017;0.271;0.403;1.212;0.069;41.997;123.996;0.997;3.332;0.469;4.814;9.05;6
219;Pale;6.896;0.307;0.451;1.391;0.038;36.013;121.997;1.006;3.066;0.472;5.288;10.128;7
220;Pale;7.005;0.362;0.302;6.488;0.027;26.971;86.994;0.988;3.391;0.429;5.436;10.998;7
221;Pale;9.202;0.288;0.491;3.202;0.054;39.009;133.012;0.987;3.137;0.59;4.536;8.707;5
222;Pale;5.719;0.251;0.276;10.823;0.044;57.994;115.998;0.987;3.106;0.505;4.678;8.555;6
223;Golden;6.107;0.338;0.219;18.341;0.049;33.0;183.994;1.001;3.136;0.588;4.436;8.536;5
224;Pale;7.007;0.223;0.252;8.999;0.039;41.998;218.992;0.985;3.467;0.464;4.855;9.213;6
225;Pale;6.214;0.263;0.349;17.181;0.031;37.005;130.006;1.004;3.231;0.427;4.2;8.109;6
226;Pale;7.4;0.228;0.258;1.402;0.046;42.987;141.011;0.999;3.435;0.539;4.85;9.266;7
227;Brown;6.911;0.455;-0.0;1.397;0.087;32.009;38.016;0.994;3.327;0.577;5.433;10.424;6
228;Pale;7.891;0.345;0.512;15.289;0.038;53.997;170.995;0.999;3.098;0.515;4.335;8.437;5
229;Pale;6.395;0.38;0.195;5.602;0.129;61.001;183.012;0.993;3.247;0.434;4.536;8.94;5
230;Amber;5.694;0.35;0.223;6.71;0.052;51.006;165.99;0.989;3.307;0.627;4.761;8.328;6
231;Pale;4.791;0.262;0.234;10.593;0.019;23.001;110.994;1.002;3.452;0.289;5.479;10.27;7
232;Pale;7.7;0.403;0.261;4.489;0.043;27.0;94.994;1.017;3.194;0.608;5.863;10.531;8
233;Pale;7.399;0.274;0.256;11.796;0.061;55.003;173.015;1.011;3.104;0.593;4.671;8.688;5
234;Pale;6.902;0.162;0.258;4.405;0.019;13.996;107.001;0.972;3.241;0.467;4.948;9.67;8
235;Pale;7.398;0.321;0.233;1.708;0.06;50.008;178.996;0.994;3.269;0.706;4.242;8.428;5
236;Golden;6.902;0.251;0.237;3.599;0.059;12.998;84.994;0.994;2.984;0.485;4.522;8.267;4
237;Golden;6.805;0.179;0.343;1.313;0.025;21.999;87.012;0.989;3.081;0.62;5.867;10.464;7
238;Pale;6.6;0.177;0.413;8.899;0.055;51.001;169.002;1.008;3.136;0.547;4.668;8.556;6
239;Amber;6.885;0.404;0.167;12.897;0.04;58.997;185.992;0.989;3.062;0.502;4.479;8.817;5
240;Pale;6.893;0.398;0.398;4.591;0.031;5.001;19.006;1.002;3.324;0.358;6.013;11.484;3
241;Brown;7.516;0.598;0.016;1.797;0.088;24.99;99.001;0.994;3.336;0.555;4.803;9.535;5
242;Amber;5.29;0.334;0.298;1.201;0.046;25.001;119.003;0.994;3.329;0.611;5.389;9.941;6
243;Golden;7.807;0.206;0.242;8.887;0.051;41.994;182.004;0.997;3.184;0.476;4.731;9.169;6
244;Amber;7.302;0.242;0.326;17.857;0.06;41.505;194.988;1.006;3.065;0.446;4.338;8.453;7
245;Pale;6.795;0.157;0.278;8.711;0.044;51.977;242.0;0.989;3.232;0.533;5.005;9.147;6
